row,lat,lon,speed,timestamp,sound,luminosity,lux,ir,vibration,altitude
78,51.626274,7.382042,14.61,02/07/2016 13:00:21 ,17,0,4294967199,37888,1.0400,563.87
79,51.626255,7.381992,14.61,02/07/2016 13:00:22 ,17,0,4294967199,37888,0.6301,565.19
80,51.626232,7.381938,15.89,02/07/2016 13:00:23 ,263,0,4294967199,37888,1.1843,563.87
81,51.626213,7.381883,15.89,02/07/2016 13:00:24 ,406,0,4294967199,37888,0.9668,564.40
82,51.626190,7.381822,15.89,02/07/2016 13:00:25 ,16,0,4294967199,37888,0.8437,563.34
83,51.626171,7.381757,15.89,02/07/2016 13:00:26 ,16,0,4294967199,37888,0.9526,563.08
84,51.626152,7.381695,15.89,02/07/2016 13:00:27 ,763,0,4294967199,37888,1.2676,563.08
85,51.626132,7.381632,17.82,02/07/2016 13:00:28 ,17,0,4294967199,37888,0.9033,562.81
86,51.626113,7.381568,17.82,02/07/2016 13:00:29 ,17,0,4294967199,37888,0.9683,562.55
87,51.626091,7.381500,18.78,02/07/2016 13:00:30 ,189,0,4294967199,37888,1.3413,561.76
88,51.626071,7.381428,18.78,02/07/2016 13:00:31 ,762,0,4294967199,37888,0.6960,562.29
89,51.626049,7.381357,20.26,02/07/2016 13:00:32 ,170,0,4294967199,37888,1.3325,561.50
90,51.626022,7.381285,20.26,02/07/2016 13:00:33 ,17,0,4294967199,37888,1.1143,560.71
91,51.625999,7.381212,20.26,02/07/2016 13:00:34 ,762,0,4294967199,37888,0.8303,560.71
92,51.625972,7.381138,20.30,02/07/2016 13:00:35 ,141,0,4294967199,37888,0.9929,560.18
93,51.625949,7.381070,20.30,02/07/2016 13:00:36 ,377,0,4294967199,37888,1.1262,559.65
94,51.625926,7.381003,18.91,02/07/2016 13:00:37 ,763,0,4294967199,37888,0.8230,559.12
95,51.625904,7.380942,18.91,02/07/2016 13:00:38 ,17,0,4294967199,37888,0.9285,558.86
96,51.625881,7.380885,17.52,02/07/2016 13:00:39 ,658,0,4294967199,37888,0.9443,559.65
97,51.625839,7.380848,17.52,02/07/2016 13:00:40 ,18,0,4294967199,37888,0.9211,559.65
98,51.625793,7.380845,17.52,02/07/2016 13:00:41 ,762,0,4294967199,37888,1.1653,558.60
99,51.625743,7.380872,17.52,02/07/2016 13:00:42 ,17,0,4294967199,37888,1.3708,558.60
100,51.625694,7.380918,17.52,02/07/2016 13:00:43 ,17,0,4294967199,37888,0.8623,557.54
101,51.625656,7.380975,21.43,02/07/2016 13:00:44 ,18,0,4294967199,37888,0.9749,559.12
